,0,1,1-Layer DCNN,,0,1,Temporal CNN,,1,Spatial CNN
0,SelfRegulationSCP2,0.566666666666667,0.544444444444444,,LSST,0.473641524736415,0.502838605028386,,0.450121654501217,0.433901054339011
1,Heartbeat,0.770731707317073,0.751219512195122,,EigenWorms,0.633587786259542,0.557251908396947,,0.526717557251908,0.221374045801527
2,Epilepsy,1,0.985507246376812,,FingerMovements,0.59,0.47,,0.61,0.48
3,UWaveGestureLibrary,0.840625,0.871875,,UWaveGestureLibrary,0.50625,0.528125,,0.60625,0.6375
4,Libras,0.983333333333333,0.966666666666667,,Heartbeat,0.746341463414634,0.721951219512195,,0.75609756097561,0.712195121951219
5,StandWalkJump,0.266666666666667,0.4,,Cricket,0.75,0.75,,0.986111111111111,0.986111111111111
6,DuckDuckGeese,0.6,0.54,,Handwriting,0.045882352941177,0.078823529411765,,0.025882352941177,0.087058823529412
7,AtrialFibrillation,0.4,0.333333333333333,,ArticularyWordRecognition,0.503333333333333,0.5,,0.92,0.923333333333333
8,LSST,0.552311435523114,0.577858880778589,,SelfRegulationSCP2,0.561111111111111,0.566666666666667,,0.544444444444444,0.55
9,PEMS-SF,0.710982658959538,0.687861271676301,,NATOPS,0.661111111111111,0.655555555555556,,0.833333333333333,0.838888888888889
10,MotorImagery,0.52,0.55,,PhonemeSpectra,0.250521920668058,0.265732180137191,,0.135102892931703,0.120489114226066
11,Handwriting,0.012941176470588,0.052941176470588,,PenDigits,0.971983990851915,0.973413379073756,,0.846769582618639,0.849342481417953
12,SelfRegulationSCP1,0.924914675767918,0.914675767918089,,RacketSports,0.68421052631579,0.631578947368421,,0.730263157894737,0.756578947368421
13,ArticularyWordRecognition,0.89,0.916666666666667,,SelfRegulationSCP1,0.877133105802048,0.74061433447099,,0.887372013651877,0.897610921501707
14,BasicMotions,0.95,0.825,,AtrialFibrillation,0.333333333333333,0.266666666666667,,0.533333333333333,0.4
15,RacketSports,0.809210526315789,0.835526315789474,,Epilepsy,1,0.992753623188406,,0.978260869565217,0.956521739130435
16,PenDigits,0.983419096626644,0.982561463693539,,MotorImagery,0.66,0.63,,0.46,0.52
17,HandMovementDirection,0.337837837837838,0.324324324324324,,BasicMotions,0.65,0.625,,0.625,0.525
18,FingerMovements,0.58,0.59,,Libras,0.627777777777778,0.627777777777778,,0.811111111111111,0.788888888888889
19,EthanolConcentration,0.296577946768061,0.250950570342205,,ERing,0.751851851851852,0.744444444444444,,0.066666666666667,0.096296296296296
20,Cricket,0.986111111111111,0.972222222222222,,PEMS-SF,0.69364161849711,0.543352601156069,,0.734104046242775,0.751445086705202
21,PhonemeSpectra,0.246346555323591,0.256486728303012,,EthanolConcentration,0.29277566539924,0.288973384030418,,0.262357414448669,0.300380228136882
22,NATOPS,0.972222222222222,0.95,,FaceDetection,0.551078320090806,0.552780930760499,,0.528376844494892,0.525539160045403
23,ERing,0.807407407407407,0.662962962962963,,HandMovementDirection,0.405405405405405,0.283783783783784,,0.378378378378378,0.310810810810811
24,FaceDetection,0.559023836549376,0.542565266742338,,StandWalkJump,0.133333333333333,0.333333333333333,,0.333333333333333,0.4
