,0,1,2
0,SelfRegulationSCP2,0.4666666666666667,0.4666666666666667
1,Heartbeat,0.7219512195121951,0.7219512195121951
2,Epilepsy,0.8478260869565217,0.8405797101449275
3,UWaveGestureLibrary,0.125,0.121875
4,Libras,0.7111111111111111,0.7111111111111111
5,StandWalkJump,0.3333333333333333,0.3333333333333333
6,DuckDuckGeese,0.22,0.2
7,AtrialFibrillation,0.3333333333333333,0.3333333333333333
8,LSST,0.4959448499594485,0.4951338199513382
9,PEMS-SF,0.15028901734104047,0.11560693641618497
10,MotorImagery,0.44,0.45
11,Handwriting,0.2576470588235294,0.24
12,SelfRegulationSCP1,0.8737201365187713,0.8737201365187713
13,ArticularyWordRecognition,0.04,0.04
14,BasicMotions,0.925,0.9
15,RacketSports,0.8223684210526315,0.8289473684210527
16,HandMovementDirection,0.5405405405405406,0.5405405405405406
17,FingerMovements,0.49,0.49
18,EthanolConcentration,0.2661596958174905,0.25475285171102663
19,Cricket,0.08333333333333333,0.08333333333333333
20,PhonemeSpectra,0.025648672830301224,0.025648672830301224
21,NATOPS,0.9055555555555556,0.9055555555555556
22,ERing,0.9111111111111111,0.9185185185185185
23,EigenWorms,0.4198473282442748,0.4198473282442748
24,FaceDetection,0.5,0.5
